name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Argentina,Arg.,ARG,108000,123000,130000,137000,146000,157000,169000,179000,183000,192000,197000,216000,222000,218000,231000,245000,255000,264000,268000,271000,279000,276000,282000,288000,289000,291000,302000,305000,302000,311000,307000,298000,325000,336000,344000,344000,351000,362000,370000,368000,362000,367000,360000,355000,363000,365000,368000,369000,368000,373000,376000,375000,365000,389000,408000,411000,464000,459000,472000,453000,450000,452000,457000,457000,471000,478000,1,219.1,495.9,199.1,553.7,357.8,521.1,38.8,0,,ARG,,,,1
Australia,Aus.,AUS,226000,311000,336000,356000,372000,380000,387000,393000,399000,409000,416000,421000,428000,437000,448000,463000,461000,473000,482000,493000,502000,423000,412000,398000,392000,391000,389000,394000,397000,400000,415000,422000,430000,412000,425000,437000,430000,439000,442000,469000,454000,438000,441000,440000,440000,450000,457000,469000,483000,491000,500000,554000,557000,562000,575000,582000,545000,551000,553000,557000,554000,487000,486000,477000,473000,479000,1,1030,566.4,893.6,612.9,709.1,459.7,49.7,0,2,AUS,,1,1,1
Austria,Au.,AUT,31100,33700,32800,32800,36100,41100,40800,42300,41700,41900,45200,46500,49000,52400,54500,54300,55800,57100,59800,62300,67800,69400,73800,78000,75800,72100,76500,74300,75500,80100,70600,73800,71000,69500,72900,72700,71700,75100,71600,76100,76900,71600,64800,64900,65400,68700,72100,71700,71000,69200,69300,78100,79800,85400,85200,86200,86200,83300,83100,79400,86800,80300,77900,78100,74500,77200,1,536.4,213.8,479.6,217.8,709.1,377.2,23.6,0,2,AUT,,1,1,1
Belgium,Bel.,BEL,97100,111000,105000,105000,109000,116000,122000,123000,115000,116000,120000,123000,130000,138000,137000,140000,141000,144000,156000,163000,164000,159000,170000,177000,176000,158000,165000,162000,171000,178000,172000,161000,151000,136000,141000,139000,136000,135000,132000,149000,146000,142000,142000,141000,149000,151000,155000,146000,152000,145000,147000,145000,145000,145000,146000,142000,141000,137000,137000,124000,130000,120000,117000,117000,112000,115000,1,430.6,178.6,399.9,176.4,634.8,330.2,28.2,0,0,BEL,1,1,1,1
Bulgaria,Bu.,BGR,26800,27700,29300,30700,32000,33100,34500,36400,38100,42600,45800,49400,54900,58900,67800,72200,75400,82200,87200,94100,89200,91800,94000,96200,97900,101000,101000,104000,109000,107000,106000,110000,119000,120000,117000,119000,120000,122000,118000,115000,106000,71800,67500,66800,63000,64300,64500,61300,56900,50100,49700,50000,46700,51300,50200,50700,54900,59000,57300,48200,50800,56100,51100,45800,48000,52000,1,606.9,249.1,538.8,252.9,732.7,377.2,21,0,0,BGR,1,1,1,1
Brazil,Brazil,BRA,496000,603000,645000,680000,716000,750000,775000,795000,817000,833000,853000,1060000,1130000,1190000,1240000,1280000,1310000,1330000,1370000,1390000,1440000,1320000,1340000,1330000,1340000,1360000,1400000,1390000,1420000,1450000,1480000,1460000,1840000,1940000,2010000,2100000,2180000,2250000,2250000,2290000,2260000,2280000,2070000,2020000,1990000,2030000,1970000,1960000,1980000,1980000,1990000,2000000,2000000,2060000,2100000,2080000,1520000,1510000,1550000,1490000,1550000,1330000,1360000,1350000,1380000,1400000,1,254.3,425.4,198.8,494.7,709.1,400.8,58.9,2,,BRA,,,1,1
Canada,Can.,CAN,340000,349000,351000,356000,357000,368000,391000,388000,390000,392000,401000,406000,424000,434000,464000,484000,497000,522000,547000,556000,584000,597000,615000,622000,629000,630000,638000,645000,650000,698000,711000,700000,645000,641000,661000,661000,636000,661000,688000,727000,700000,692000,707000,706000,727000,740000,756000,770000,778000,788000,809000,798000,801000,820000,822000,808000,896000,906000,892000,819000,880000,761000,790000,844000,821000,805000,1,78,108.1,116.7,147.5,447,165.5,59.3,0,2,CAN,,1,1,1
China,China,CHN,1410000,1440000,1560000,1660000,1790000,1920000,2060000,2140000,2420000,2570000,2580000,2280000,2070000,2040000,2070000,2130000,2190000,2100000,2150000,2270000,2510000,2640000,2720000,2780000,2810000,3010000,3120000,3270000,3380000,3300000,3150000,2980000,2970000,3020000,3170000,3280000,3390000,3560000,3730000,3820000,3860000,3960000,4050000,4220000,4480000,4780000,4910000,4920000,4720000,4770000,4760000,4590000,5020000,5810000,6650000,7420000,8090000,8620000,9220000,9730000,10600000,11600000,12000000,12200000,12300000,12400000,1,959.5,319.6,709.7,147.9,277.3,224.8,239.3,2,,CHN,,,1,1
Cyprus,Cyprus,CYP,1870,1610,1610,1620,1650,1610,1850,2010,1960,2030,2090,2060,2110,2220,2210,2410,2580,2770,3130,3210,3240,3450,4040,4170,3450,3340,3910,4140,4320,4520,4750,4420,4490,4480,4630,4600,5120,5770,5830,6120,6200,6120,6560,6860,7110,7050,7350,7470,7800,8050,8320,8210,8440,8820,9040,9170,9110,9430,9570,9330,9000,8750,8200,7480,7860,7890,1,642.2,354.9,502.8,322.3,789.8,272.8,11.6,0,2,CYP,,1,1,1
Czech Republic,Cz. Rep.,CZE,82200,86000,90600,93700,99100,103000,109000,114000,122000,123000,130000,139000,146000,152000,157000,155000,155000,156000,163000,171000,187000,194000,195000,195000,191000,198000,204000,209000,210000,206000,206000,204000,202000,203000,207000,203000,202000,200000,197000,193000,196000,165000,159000,151000,143000,143000,146000,142000,136000,127000,136000,136000,133000,136000,137000,135000,142000,144000,139000,131000,132000,125000,121000,118000,114000,115000,1,536.4,178.6,495.8,189.2,730.7,301.5,28.6,0,0,CZE,1,1,1,1
